"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","233","Удаление НЕсуществующего пользователя","","Mon Dec 23 23:46:08 GMT 2024","passed","Mon Dec 23 23:46:08 GMT 2024","","api.RequresTest","api.RequresTest","unSuccesDeleteUser"
"","492","succesCreateUser()","","Sun Dec 22 21:15:54 GMT 2024","broken","Sun Dec 22 21:15:54 GMT 2024","","api.RequresTest","api.RequresTest","succesCreateUser"
"","1015","Получение данных НЕсуществующего пользователя","","Mon Dec 23 23:46:06 GMT 2024","passed","Mon Dec 23 23:46:07 GMT 2024","","api.RequresTest","api.RequresTest","unSuccesGetUser"
"","227","Удаление существующего пользователя","","Mon Dec 23 23:46:07 GMT 2024","passed","Mon Dec 23 23:46:07 GMT 2024","","api.RequresTest","api.RequresTest","SuccesDeleteUser"
"","254","Обновление существующего пользователя","","Mon Dec 23 23:46:09 GMT 2024","passed","Mon Dec 23 23:46:09 GMT 2024","","api.RequresTest","api.RequresTest","succesUpdateUser"
"","978","Обновление НЕсуществующего пользователя","","Mon Dec 23 23:46:07 GMT 2024","passed","Mon Dec 23 23:46:08 GMT 2024","","api.RequresTest","api.RequresTest","unSuccesUpdateUser"
"","308","Регистрация нового пользователя без пароля","","Mon Dec 23 23:46:08 GMT 2024","passed","Mon Dec 23 23:46:08 GMT 2024","","api.RequresTest","api.RequresTest","unSuccesRegUser"
"","2905","Регистрация нового пользователя","","Mon Dec 23 23:46:03 GMT 2024","passed","Mon Dec 23 23:46:06 GMT 2024","","api.RequresTest","api.RequresTest","succesRegUser"
"","1025","testUpdateUserNotFound()","","Sun Dec 22 23:17:28 GMT 2024","failed","Sun Dec 22 23:17:29 GMT 2024","","api.RequresTest","api.RequresTest","testUpdateUserNotFound"
"","441","Получение данных существующего пользователя","","Mon Dec 23 23:46:08 GMT 2024","passed","Mon Dec 23 23:46:09 GMT 2024","","api.RequresTest","api.RequresTest","succesGetUser"
